FID,OBJECTID,MouthLat,MouthLon,River,F4,Qav__m3_s_,Qmx__m3_s_,Qs__kg_s_,Qb__kg_s_,Qbmx__kg_s,Yield__T_k,Cs__kg_m3_,L__km_,Q_A__m_yr_,Dgrd__m_km,CN__Pre_da,CN__Modern,DSh__m_,Wa__m_,Ti__m_,AD__km2_,Dmm__mm_,TCw__km_,TCw__Rw,Pm__Pr,φ,TVs_ΘADDS
40,41,51.091666666700000,234.375000000000000,Klinaklini,Can,330.000000000000000,800.000000000000000,158.000000000000000,27.000000000000000,66.000000000000000,900.000000000000000,0.480000000000000,150.000000000000000,1.600000000000000,0.000330000000000,5.000000000000000,5.000000000000000,300.000000000000000,1.000000000000000,4.000000000000000,16.000000000000000,0.3,0.800000000000000,4.700000000000000,5.900000000000000,0.010000000000000,7.400000000000000
41,42,50.929166666699999,235.145833333000010,Homathko,Can,253.000000000000000,700.000000000000000,136.000000000000000,14.000000000000000,38.000000000000000,830.000000000000000,0.540000000000000,115.000000000000000,1.400000000000000,0.000220000000000,2.000000000000000,2.000000000000000,400.000000000000000,1.000000000000000,3.600000000000000,15.000000000000000,0.14,0.800000000000000,4.000000000000000,8.199999999999999,0.010000000000000,4.800000000000000
42,43,49.704166666699997,236.820833333000000,Squamish,Can,250.000000000000000,550.000000000000000,57.000000000000000,8.000000000000000,17.000000000000000,566.000000000000000,0.980000000000000,110.000000000000000,2.190000000000000,0.000120000000000,2.000000000000000,2.000000000000000,200.000000000000000,1.000000000000000,3.000000000000000,15.000000000000000,0.3,0.600000000000000,2.400000000000000,13.800000000000001,0.010000000000000,4.100000000000000
43,44,40.625000000000000,235.720833333000000,Eel,CA,235.000000000000000,750.000000000000000,558.000000000000000,58.000000000000000,185.000000000000000,2088.000000000000000,2.370000000000000,320.000000000000000,0.800000000000000,0.001000000000000,1.000000000000000,1.000000000000000,100.000000000000000,3.500000000000000,3.000000000000000,20.000000000000000,–,0.300000000000000,1.000000000000000,2.600000000000000,0.030000000000000,59.100000000000001
44,45,36.570833333300001,35.562500000000000,Ceyan,Tur,222.000000000000000,420.000000000000000,173.000000000000000,7.000000000000000,7.000000000000000,166.000000000000000,0.570000000000000,380.000000000000000,0.200000000000000,0.000130000000000,2.000000000000000,3.000000000000000,80.000000000000000,1.500000000000000,0.700000000000000,150.000000000000000,–,2.300000000000000,4.500000000000000,4.600000000000000,0.070000000000000,2.900000000000000
45,46,28.879166666700002,264.625000000000000,Brazos,TX,189.000000000000000,472.000000000000000,290.000000000000000,18.000000000000000,44.000000000000000,88.000000000000000,2.960000000000000,1947.000000000000000,0.050000000000000,0.000380000000000,2.000000000000000,2.000000000000000,50.000000000000000,1.500000000000000,0.700000000000000,60.000000000000000,–,0.600000000000000,3.300000000000000,1.400000000000000,0.110000000000000,19.699999999999999
46,47,28.600000000000001,264.024999999999980,Colorado,TX,76.000000000000000,326.000000000000000,44.000000000000000,5.000000000000000,22.000000000000000,14.000000000000000,0.420000000000000,1560.000000000000000,0.020000000000000,0.000270000000000,3.000000000000000,10.000000000000000,10.000000000000000,1.500000000000000,0.700000000000000,38.000000000000000,–,0.200000000000000,1.000000000000000,2.800000000000000,0.020000000000000,24.800000000000001
47,48,43.587499999999999,10.300000000000001,Arno,Ita,57.000000000000000,250.000000000000000,70.000000000000000,2.000000000000000,47.000000000000000,277.000000000000000,0.680000000000000,240.000000000000000,0.220000000000000,0.000760000000000,1.000000000000000,1.000000000000000,60.000000000000000,2.000000000000000,0.700000000000000,30.000000000000000,–,0.300000000000000,1.000000000000000,2.100000000000000,0.020000000000000,7.600000000000000
48,49,43.658333333300000,7.200000000000000,Var,Fr,41.000000000000000,250.000000000000000,48.000000000000000,8.000000000000000,50.000000000000000,623.000000000000000,0.900000000000000,120.000000000000000,0.460000000000000,0.000810000000000,1.000000000000000,1.000000000000000,500.000000000000000,2.000000000000000,0.500000000000000,5.000000000000000,–,0.100000000000000,1.000000000000000,1.900000000000000,0.010000000000000,4.300000000000000
49,50,-38.708333333299997,177.937500000000000,Waipaoa,NZ,41.000000000000000,275.000000000000000,295.000000000000000,47.000000000000000,317.000000000000000,4890.000000000000000,7.190000000000000,47.000000000000000,0.590000000000000,0.004660000000000,1.000000000000000,1.000000000000000,50.000000000000000,3.000000000000000,1.200000000000000,15.000000000000000,10,0.200000000000000,1.000000000000000,0.700000000000000,0.030000000000000,87.500000000000000
50,51,42.470833333300000,14.225000000000000,Pescara,Ita,29.000000000000000,175.000000000000000,60.000000000000000,6.000000000000000,37.000000000000000,674.000000000000000,2.070000000000000,120.000000000000000,0.300000000000000,0.000860000000000,1.000000000000000,1.000000000000000,50.000000000000000,1.500000000000000,0.600000000000000,5.000000000000000,–,0.100000000000000,1.000000000000000,1.600000000000000,0.030000000000000,50.899999999999999
